stat.question_id,stat.frontend_question_id,stat.question__title,stat.question__title_slug,stat.total_acs,stat.total_submitted
2576,2483,Minimum Penalty for a Shop,minimum-penalty-for-a-shop,103055,153071
2573,2487,Remove Nodes From Linked List,remove-nodes-from-linked-list,178593,239918
2572,2486,Append Characters to String to Make Subsequence,append-characters-to-string-to-make-subsequence,35043,53084
2568,2477,Minimum Fuel Cost to Report to the Capital,minimum-fuel-cost-to-report-to-the-capital,67447,104242
2567,2476,Closest Nodes Queries in a Binary Search Tree,closest-nodes-queries-in-a-binary-search-tree,21425,51699
2564,2467,Most Profitable Path in a Tree,most-profitable-path-in-a-tree,12007,24504
2562,2466,Count Ways To Build Good Strings,count-ways-to-build-good-strings,73975,135471
2558,2471,Minimum Number of Operations to Sort a Binary Tree by Level,minimum-number-of-operations-to-sort-a-binary-tree-by-level,20960,33851
2557,2470,Number of Subarrays With LCM Equal to K,number-of-subarrays-with-lcm-equal-to-k,21971,56718
2553,2462,Total Cost to Hire K Workers,total-cost-to-hire-k-workers,92721,215286
2552,2461,Maximum Sum of Distinct Subarrays With Length K,maximum-sum-of-distinct-subarrays-with-length-k,51613,152508
2550,2452,Words Within Two Edits of Dictionary,words-within-two-edits-of-dictionary,20880,34463
2548,2453,Destroy Sequential Targets,destroy-sequential-targets,16985,43433
2546,2447,Number of Subarrays With GCD Equal to K,number-of-subarrays-with-gcd-equal-to-k,25093,50319
2544,2457,Minimum Addition to Make Integer Beautiful,minimum-addition-to-make-integer-beautiful,19303,51527
2543,2456,Most Popular Video Creator,most-popular-video-creator,21668,49578
2541,2443,Sum of Number and Its Reverse,sum-of-number-and-its-reverse,35016,74276
2533,2425,Bitwise XOR of All Pairings,bitwise-xor-of-all-pairings,19274,33225
2530,2439,Minimize Maximum of Array,minimize-maximum-of-array,80734,173371
2529,2438,Range Product Queries of Powers,range-product-queries-of-powers,15846,39596
2525,2442,Count Number of Distinct Integers After Reverse Operations,count-number-of-distinct-integers-after-reverse-operations,59346,74948
2520,2434,Using a Robot to Print the Lexicographically Smallest String,using-a-robot-to-print-the-lexicographically-smallest-string,17931,45374
2519,2433,Find The Original Array of Prefix Xor,find-the-original-array-of-prefix-xor,141308,160505
2512,2424,Longest Uploaded Prefix,longest-uploaded-prefix,20357,36849
2511,2522,Partition String Into Substrings With Values at Most K,partition-string-into-substrings-with-values-at-most-k,20602,44649
2509,2429,Minimize XOR,minimize-xor,21482,48864
2508,2428,Maximum Sum of an Hourglass,maximum-sum-of-an-hourglass,37415,50050
2504,2420,Find All Good Indices,find-all-good-indices,23037,59714
2503,2419,Longest Subarray With Maximum Bitwise AND,longest-subarray-with-maximum-bitwise-and,27256,55258
2498,2411,Smallest Subarrays With Maximum Bitwise OR,smallest-subarrays-with-maximum-bitwise-or,12460,28388
2497,2410,Maximum Matching of Players With Trainers,maximum-matching-of-players-with-trainers,33599,53659
2493,2415,Reverse Odd Levels of Binary Tree,reverse-odd-levels-of-binary-tree,49739,64163
2492,2414,Length of the Longest Alphabetical Continuous Substring,length-of-the-longest-alphabetical-continuous-substring,44249,76284
2488,2406,Divide Intervals Into Minimum Number of Groups,divide-intervals-into-minimum-number-of-groups,26055,55423
2487,2405,Optimal Partition of String,optimal-partition-of-string,185522,237685
2483,2365,Task Scheduler II,task-scheduler-ii,33702,64809
2482,2397,Maximum Rows Covered by Columns,maximum-rows-covered-by-columns,14582,26642
2481,2396,Strictly Palindromic Number,strictly-palindromic-number,83953,95951
2478,2401,Longest Nice Subarray,longest-nice-subarray,30300,59594
2477,2400,Number of Ways to Reach a Position After Exactly k Steps,number-of-ways-to-reach-a-position-after-exactly-k-steps,30234,86248
2475,2384,Largest Palindromic Number,largest-palindromic-number,34462,100205
2473,2342,Max Sum of a Pair With Equal Sum of Digits,max-sum-of-a-pair-with-equal-sum-of-digits,46330,84630
2471,2391,Minimum Amount of Time to Collect Garbage,minimum-amount-of-time-to-collect-garbage,128116,150086
2470,2390,Removing Stars From a String,removing-stars-from-a-string,288339,384242
2465,2381,Shifting Letters II,shifting-letters-ii,20686,55812
2464,2380,Time Needed to Rearrange a Binary String,time-needed-to-rearrange-a-binary-string,28991,58244
2461,2385,Amount of Time for Binary Tree to Be Infected,amount-of-time-for-binary-tree-to-be-infected,131741,209644
2456,2375,Construct Smallest Number From DI String,construct-smallest-number-from-di-string,31709,41875
2455,2374,Node With Highest Edge Score,node-with-highest-edge-score,32696,69033
2448,2364,Count Number of Bad Pairs,count-number-of-bad-pairs,30734,74184
2445,2368,Reachable Nodes With Restrictions,reachable-nodes-with-restrictions,52082,88892
2444,2370,Longest Ideal Subsequence,longest-ideal-subsequence,111200,233448
2443,2369,Check if There is a Valid Partition For The Array,check-if-there-is-a-valid-partition-for-the-array,86428,166841
2438,2359,Find Closest Node to Given Two Nodes,find-closest-node-to-given-two-nodes,75986,167049
2437,2358,Maximum Number of Groups Entering a Competition,maximum-number-of-groups-entering-a-competition,36580,53935
2434,2349,Design a Number Container System,design-a-number-container-system,22712,50649
2432,2348,Number of Zero-Filled Subarrays,number-of-zero-filled-subarrays,123594,185361
2429,2353,Design a Food Rating System,design-a-food-rating-system,82705,182380
2428,2352,Equal Row and Column Pairs,equal-row-and-column-pairs,203633,288636
2422,2343,Query Kth Smallest Trimmed Number,query-kth-smallest-trimmed-number,28842,65935
2418,2333,Minimum Sum of Squared Difference,minimum-sum-of-squared-difference,13806,54382
2417,2332,The Latest Time to Catch a Bus,the-latest-time-to-catch-a-bus,22739,85400
2414,2337,Move Pieces to Obtain a String,move-pieces-to-obtain-a-string,25022,52615
2413,2336,Smallest Number in Infinite Set,smallest-number-in-infinite-set,132997,185197
2411,2326,Spiral Matrix IV,spiral-matrix-iv,39832,53063
2408,2327,Number of People Aware of a Secret,number-of-people-aware-of-a-secret,23088,50692
2403,2316,Count Unreachable Pairs of Nodes in an Undirected Graph,count-unreachable-pairs-of-nodes-in-an-undirected-graph,85881,173788
